ContaID;Agencia;Tipo_Conta;Nome_Cliente;CPF_Cliente;Data_Abertura;Saldo_Atual;Limite_Credito;Data_Ultimo_Movimento;Status_Conta;Score_Credito;Renda_Mensal
23726-V;2193;Corrente;Arthur Miguel Pacheco;098.146.725-30;2024-01-05;28264.71;126.9;2024-05-04;Ativa;998;16006.23
16912-W;9450;Salário;Gabriel Machado;510.927.843-14;2024-07-12;38463.85;108.07;2025-01-16;Inativa;377;3984.73
18767-N;8739;;Eduardo da Mota;987.412.653-19;2023-12-19;15247.59;121.38;2024-03-15;Em Atraso;653;14573.56
26602-U;8352;Corrente;Brenda Oliveira;469.250.371-80;2015-02-10;40600.39;165.87;2015-05-27;Ativa;;8043.59
34698-F;6719;Corrente;Bryan da Mota;684.790.531-00;2017-02-19;15783.57;104.91;2019-09-08;Ativa;424;8734.46
49206-Q;7432;Poupança;Kaique Novaes;974.238.560-29;2019-07-03;41493.57;124.68;2022-08-07;Encerrada;749;2573.54
41552-W;8796;Salário;João Mendonça;340.289.657-56;2020-04-02;10303.5;90.0;2021-04-03;Inativa;319;4900.33
40559-Y;1939;Corrente;Maria Flor Souza;829.035.761-30;2020-05-12;34504.3;163.09;2022-04-24;Encerrada;808;12944.56
49886-N;3531;Corrente;Srta. Sofia Silva;931.842.605-42;2018-04-19;22163.36;92.38;2021-11-06;Inativa;631;6952.87
67033-F;2548;Salário;Yan Novais;639.278.415-28;2019-06-26;25733.35;143.48;2023-07-24;Ativa;620;9184.55
76292-E;4233;Corrente;Manuella Duarte;734.961.852-28;2021-12-12;26001.13;47.33;2023-02-17;Ativa;237;2912.97
29853-T;4347;Corrente;Carlos Eduardo Vasconcelos;738.654.102-35;2019-01-18;-548.59;203.25;2022-03-22;Em Atraso;728;11109.79
55978-L;3038;Corrente;Nicole Moreira;954.072.618-20;2024-02-25;48700.8;280.3;2024-12-07;Encerrada;983;6572.06
58745-M;3637;Poupança;Dra. Olivia Lima;623.014.975-34;2018-01-19;364077.63;100.19;2022-11-12;Em Atraso;375;11344.49
44015-E;5437;Corrente;Mariah Brito;216.834.759-09;2023-06-28;24068.06;173.96;2023-08-24;Inativa;685;5939.61
32012-N;5550;Poupança;Maria Isis Fernandes;185.470.962-30;2025-01-15;26716.49;110.12;2025-01-21;Ativa;492;
72951-R;9135;Poupança;Henrique Rios;237.460.918-96;2015-10-27;31544.32;32.31;2024-03-15;Em Atraso;196;16408.26
40490-L;2742;Salário;Letícia Camargo;705.436.281-08;2024-11-13;21339.22;13.82;2024-11-26;Ativa;57;8057.41
53328-J;8886;Salário;Anna Liz Ramos;364.029.518-89;2016-08-14;34770.85;104.42;2018-07-31;Em Atraso;692;8359.03
42443-N;3241;Salário;Bianca Caldeira;964.803.215-70;2020-02-16;25201.9;96.65;2020-11-15;Ativa;387;2406.6
33740-S;7937;Corrente;Sra. Isabelly Sá;092.184.536-70;2019-04-18;15691.83;75.78;2023-08-22;Ativa;366;4699.98
67981-A;1593;Corrente;Diego Castro;657.409.813-01;2018-03-08;24850.44;80.97;2023-05-20;Inativa;488;14398.6
42647-H;5018;Corrente;Sra. Maya Teixeira;974.513.286-19;2021-06-25;3341.7;;2022-09-30;Encerrada;993;3301.0
42143-L;6478;Poupança;Maria Laura Cavalcante;570.982.346-56;2024-03-08;42870.42;45.18;;Em Atraso;214;1842.62
84324-F;5957;Poupança;Luigi Moraes;093.218.764-13;2017-12-28;2211.41;262.13;2021-07-21;Ativa;961;17921.51
75276-U;5732;Corrente;Emanuella Teixeira;538.264.970-74;2015-11-01;9120.95;58.78;2020-07-18;Em Atraso;229;7091.92
28192-P;8023;Corrente;Cauã Silveira;720.648.931-13;2017-05-25;48311.94;115.42;2024-08-09;Ativa;472;17594.6
92702-B;5291;Corrente;Asafe Casa Grande;036.471.528-62;2018-09-04;105200.46;1737.81;2019-05-22;Em Atraso;686;2697.38
48821-J;5905;Corrente;Gustavo Guerra;128.705.493-50;2021-02-03;36025.93;71.26;2024-12-10;Em Atraso;241;5407.4
82559-R;9752;Salário;Maria Ramos;908.513.247-97;2017-01-13;-671.83;106.2;2022-08-08;Em Atraso;900;19429.72
12482-R;3977;Corrente;Brayan Ferreira;920.761.853-21;2018-05-07;9202.96;76.91;2023-04-22;Em Atraso;299;1508.64
48960-P;7694;Corrente;Srta. Luísa Rodrigues;127.854.903-04;2021-01-11;38001.84;186.46;2022-02-26;Em Atraso;773;10013.3
98604-F;2688;Corrente;Srta. Vitória Araújo;816.340.592-98;2022-09-23;14912.21;49.75;2024-11-24;Ativa;266;1403.22
17048-W;1086;Poupança;Juan Vieira;384.016.725-62;2021-10-22;49554.54;143.07;2022-09-26;Ativa;621;5523.47
80918-G;1711;Salário;Dr. Henry Andrade;970.856.124-01;2020-11-15;48240.23;195.77;2022-02-18;Em Atraso;971;11335.62
78098-W;1516;Corrente;Evelyn Nascimento;623.908.471-96;2016-05-05;23525.15;206.97;2022-06-20;Encerrada;916;8508.2
80824-Y;4682;Poupança;Luigi Brito;750.621.438-53;2022-08-21;34061.22;174.18;2023-05-01;Em Atraso;782;14663.92
92304-L;2120;Salário;Luísa Brito;705.419.826-30;2016-12-17;385612.8;124.94;2019-01-16;Ativa;874;9746.03
14738-R;4853;Poupança;Srta. Ágatha Pimenta;527.980.136-40;2015-02-25;40250.48;48.3;2016-10-29;Ativa;353;3829.15
16848-H;2072;Salário;Alana Casa Grande;107.582.396-02;2016-06-08;7476.12;156.52;2018-04-28;Inativa;880;5416.13
52833-L;3184;Poupança;Luísa Moreira;786.431.095-84;2021-07-20;4225.1;15.8;2024-08-02;Em Atraso;63;15164.87
76755-P;4697;Salário;Yago da Mata;027.816.935-02;2022-12-19;22934.56;118.42;2024-12-18;Encerrada;675;7321.07
27830-K;4017;Poupança;Isaac Silva;572.986.034-00;2020-03-19;31387.36;31.75;2022-10-21;Ativa;137;15268.91
98163-B;2582;Corrente;Isabel da Rocha;693.082.147-04;2018-12-14;10384.41;124.28;2022-11-05;Ativa;475;16754.05
91836-O;5382;Salário;Bruno Farias;982.364.157-91;2022-01-05;2513.86;147.75;2023-02-12;Ativa;800;5217.06
58081-Y;9694;Corrente;Ayla Sales;897.046.321-69;2017-02-27;1689.13;232.74;2017-06-24;Ativa;796;4719.1
61647-V;4637;Salário;Raul Vasconcelos;839.415.206-60;2018-05-29;9082.58;50.76;2021-11-15;Ativa;;10126.95
73179-I;1571;Poupança;Davi Teixeira;431.769.805-66;2019-07-06;34192.2;167.99;2021-01-05;;814;15318.01
61548-S;6997;Salário;Vicente Carvalho;590.271.638-12;2020-10-28;30371.01;171.34;2022-07-30;Encerrada;879;16388.88
22788-Y;8813;Salário;Sara da Luz;167.403.958-10;2016-05-08;;256.4;2023-07-02;Encerrada;866;7555.67
89948-N;2414;Salário;Daniela Viana;687.502.349-00;2016-01-30;30788.62;153.12;2020-04-16;Inativa;991;12389.32
63699-X;4752;Poupança;Julia Cavalcanti;390.257.168-30;2020-10-14;32936.66;17.97;2020-11-11;Encerrada;103;6258.92
84459-J;6689;Poupança;Theo Azevedo;043.695.217-34;2023-07-18;2599.13;36.49;2024-01-27;Em Atraso;207;10338.6
70126-Q;9420;Poupança;Oliver da Mata;143.726.095-07;2024-10-08;23889.05;70.75;2025-01-26;Em Atraso;580;2630.57
25487-L;8221;Corrente;Dr. Caio Campos;413.756.209-16;2016-11-19;2852.75;66.62;2017-01-10;Ativa;238;15122.0
48783-D;4895;Salário;Larissa Cunha;957.683.241-19;2023-12-04;10581.07;9.73;2024-01-26;Ativa;76;9072.47
87647-I;5235;Poupança;Sr. Diego Casa Grande;107.283.649-13;2021-05-27;39193.15;147.53;2022-09-26;Inativa;521;3483.56
25845-V;4708;Salário;Benicio Albuquerque;;2016-10-31;29374.29;10.8;2018-10-29;Inativa;50;18793.0
64065-I;5521;Poupança;Heloísa Viana;615.839.274-09;2015-06-26;10078.31;9.7;2016-06-29;Encerrada;45;17157.4
11651-V;4565;Salário;Anthony Cirino;178.390.524-79;2022-06-25;20725.13;37.46;2023-06-14;Em Atraso;354;17531.07
18868-B;8747;Poupança;Sra. Maria Vargas;536.279.801-40;2020-11-26;29964.81;84.48;2022-02-09;Ativa;;81302.3
38796-J;3141;Corrente;Enzo Gabriel Fernandes;096.378.142-13;2020-10-08;41709.66;51.75;2020-10-18;Inativa;363;126874.82
61088-X;4690;Corrente;Dra. Isis Correia;749.162.058-20;2024-12-17;37548.15;71.01;2025-01-23;Inativa;455;16138.52
53659-N;4149;Corrente;Vicente Siqueira;679.580.142-01;2016-10-03;27547.59;82.87;2020-07-20;Inativa;653;10648.75
24804-T;5796;Corrente;Gael da Cunha;243.165.897-09;2023-10-23;37602.82;79.64;2024-06-01;Inativa;271;18014.82
33810-H;5005;Salário;Benício Cavalcante;507.698.143-01;2022-11-24;6964.35;66.88;2023-12-09;Em Atraso;515;12509.48
21744-O;3139;Salário;Miguel Pereira;146.075.329-16;2021-12-24;6318.27;79.64;2022-06-17;Ativa;406;19227.88
51986-V;4890;Poupança;Bento Duarte;068.354.217-62;2024-05-05;24999.47;66.09;2024-07-28;Inativa;304;1500.72
75253-E;3604;Salário;Sophia Cardoso;960.253.814-70;2024-11-18;38879.68;117.4;2025-01-13;Ativa;859;11789.22
61966-K;1952;Salário;Srta. Maysa da Mota;240.368.517-80;2018-12-15;9783.63;194.6;2020-01-09;Encerrada;855;7597.91
71614-X;4654;Salário;Maya da Cunha;507.396.281-86;2020-01-30;46823.26;56.69;2022-12-05;Em Atraso;302;19695.88
62912-F;3484;Poupança;Ana Lívia Sampaio;892.743.560-56;2024-05-29;20570.54;140.34;2025-01-30;Ativa;525;2012.93
57028-N;6964;Poupança;Olívia Ramos;104.378.269-96;2024-04-14;19354.02;110.7;2024-07-01;Ativa;536;
58806-O;2933;Salário;Maria Isis Dias;419.256.738-55;2016-03-02;38817.52;120.02;2016-06-15;Encerrada;422;10952.46
46026-V;8172;Corrente;Bryan Borges;536.149.807-66;2023-05-17;14505.97;63.24;2025-01-22;Ativa;318;17924.41
36466-F;9292;Corrente;Théo Pinto;217.359.684-55;2025-01-05;6880.54;30.05;2025-01-13;Ativa;101;15773.08
10677-V;3643;Salário;Clara Andrade;946.173.285-64;2023-04-02;27295.09;101.97;2024-07-10;Inativa;370;12733.05
60001-F;1452;Corrente;Maria Clara Lima;390.456.721-70;2020-08-16;49535.87;62.83;2022-05-19;Encerrada;507;1559.21
;6414;Corrente;Davi Lucas da Paz;971.235.460-16;2023-05-06;7913.04;2.92;2023-11-10;Inativa;16;11792.82
81489-W;4651;Salário;Maria Alice da Conceição;684.017.523-53;2019-08-17;19380.78;168.96;2021-11-19;Em Atraso;917;10251.38
23450-Y;6294;Poupança;Daniel Santos;529.374.610-34;2018-10-28;8696.91;75.6;2022-03-18;Ativa;497;10640.39
97903-C;4142;Salário;Augusto Moraes;230.894.167-78;2024-12-15;28408.56;86.44;2025-01-09;Em Atraso;563;2428.36
;5385;Corrente;Benicio Pinto;607.524.138-80;2021-05-19;35201.13;66.93;2022-12-10;Encerrada;368;4042.04
28101-Z;2048;Poupança;Sra. Melissa Casa Grande;049.156.273-06;2021-02-04;32695.82;47.47;2021-02-24;Ativa;350;8573.91
68763-C;7950;Poupança;Ana Julia da Rocha;432.817.906-31;2017-08-18;1993.34;156.62;2021-04-08;Ativa;610;11869.74
46120-X;7046;Corrente;Pedro Henrique Ribeiro;502.974.168-20;2020-07-19;26556.55;49.08;2024-06-27;Encerrada;429;3176.08
59628-X;4425;Poupança;Antônio Sales;278.503.461-90;2015-03-12;7541.17;7.04;2024-10-06;Inativa;38;7511.62
25353-J;1256;Corrente;Augusto Machado;259.017.834-41;2019-04-03;40220.82;123.5;2020-03-07;;544;20198.24
11545-O;9037;Poupança;Luiza Sales;602.857.349-38;2016-06-22;2061.21;70.26;2017-05-24;Em Atraso;610;1556.57
19303-T;7311;Salário;Cecilia da Cunha;594.762.130-43;2022-10-02;28525.3;40.17;2023-04-17;Inativa;273;14906.43
13067-J;2898;Corrente;Paulo Câmara;248.736.091-78;2021-01-22;39975.96;4.07;2024-11-08;Ativa;37;4878.23
10421-Y;1266;Salário;Caleb Pastor;841.706.259-94;2023-11-10;38083.93;34.7;2024-02-05;Inativa;185;11704.69
74516-R;5426;Salário;Hellena Campos;056.479.123-70;2023-04-25;2358.37;24.17;2023-11-21;Encerrada;200;90894.9
79431-A;7174;Corrente;Ana Sophia Vargas;780.295.463-00;2015-10-08;47356.44;76.87;2021-10-31;Em Atraso;679;9683.9
46510-L;9164;Poupança;Luiz Miguel Brito;290.146.537-43;2018-02-26;24341.5;59.92;2021-11-25;Inativa;215;17901.52
50105-Y;9293;Poupança;Alexandre Porto;824.506.397-56;2018-03-10;43687.32;136.05;2020-01-08;Em Atraso;876;4205.67
25388-E;5284;Corrente;Ana Carolina Leão;723.951.846-91;2016-03-30;23064.28;117.52;;Ativa;906;20291.43
75421-K;8092;Salário;Guilherme Azevedo;937.405.186-93;2022-03-02;42039.53;89.12;2022-03-22;Em Atraso;845;13194.53
89866-K;7682;Salário;Luiz Gustavo Pereira;015.632.984-06;2024-12-27;2917.59;182.13;2025-01-14;Encerrada;934;1899.74
28757-Y;3572;Salário;Ravy da Cruz;368.951.420-70;2025-01-12;18859.87;92.46;2025-01-12;Em Atraso;488;8991.06
68545-C;1626;Poupança;Dra. Maria Liz Duarte;210.659.843-24;2020-03-31;19687.27;190.6;2022-12-08;Em Atraso;824;2301.97
49835-C;4258;Corrente;Dra. Zoe Pacheco;517.624.930-80;2024-02-10;432.81;62.58;2024-12-22;Inativa;;6393.73
18174-E;2419;Corrente;Pedro Henrique da Cruz;207.463.185-53;2016-05-29;33464.51;166.0;2017-12-29;Em Atraso;666;19900.4
27479-X;7137;Corrente;Eloah Mendes;061.842.937-96;2015-04-02;26167.61;206.19;2017-05-19;Inativa;915;8260.24
15833-M;8164;Corrente;Felipe Oliveira;912.367.850-02;2018-05-23;42978.6;105.26;2019-06-14;Inativa;389;8509.21
82110-Q;9372;Salário;Dra. Luna Nunes;457.920.681-94;;4004.76;74.62;2025-01-30;Ativa;486;1398.44
79501-R;8178;Poupança;Marcelo Moreira;912.785.036-68;2020-05-19;37074.64;71.61;2023-11-22;;346;16670.97
36320-F;7138;Poupança;Vitor Gabriel Teixeira;820.453.791-32;2019-07-15;27361.33;92.46;2022-10-18;Em Atraso;456;8658.48
65914-V;2614;Poupança;Maria Alice Nunes;248.630.571-80;2021-01-04;3847.13;225.7;2021-01-07;Encerrada;960;8853.77
37894-B;2689;Corrente;Yago da Mota;079.421.536-06;2024-12-26;1418.71;16.93;2025-01-31;Ativa;107;2534.67
53503-K;9165;Salário;Rael Fonseca;358.120.947-05;2022-03-12;32974.23;232.61;2024-11-05;Encerrada;817;14178.16
25615-R;7354;Corrente;Ana Liz da Costa;410.856.237-26;2021-05-29;246782.95;243.72;2023-11-19;Encerrada;934;10371.32
99572-U;2105;Salário;Caroline Pires;065.823.974-00;2022-07-25;34864.94;45.39;2024-05-11;Em Atraso;225;18552.3
33287-G;5753;Corrente;Henry Gabriel Sousa;859.401.637-93;2019-04-18;;63.95;2021-05-14;Encerrada;611;2354.43
;6302;Corrente;Beatriz Duarte;716.039.582-40;2020-03-04;44553.11;;2021-04-25;Em Atraso;880;4789.06
78605-L;3678;;Lucas Campos;156.928.403-24;2016-01-16;18518.1;125.23;2022-07-03;Ativa;702;2671.03
49552-G;3893;Salário;Théo Cunha;706.134.859-39;2023-03-30;46890.84;144.84;2024-11-13;Ativa;543;17387.11
50282-D;2666;Corrente;;170.925.836-59;2023-05-12;24297.82;1348.47;2024-02-10;Em Atraso;525;5139.59
12926-G;1057;Poupança;Olivia Moreira;308.754.961-48;2016-06-29;44691.63;84.82;2020-06-04;Ativa;674;4438.67
96567-V;6760;Salário;Stephany das Neves;950.762.138-59;2019-08-18;8231.88;26.52;2021-04-14;Ativa;241;19413.4
29740-C;1949;Salário;Isabella Sales;367.124.590-52;2016-11-10;;102.09;2023-02-27;Encerrada;403;2744.5
57133-W;1396;Corrente;Natália da Mata;097.641.358-20;;14588.47;104.96;2016-10-08;Inativa;892;16567.89
46950-D;9178;Corrente;João Pedro Santos;395.687.124-37;2019-10-29;11690.18;134.6;2024-10-22;Ativa;534;2595.29
26557-O;3301;Poupança;Lorena Correia;587.094.261-67;2015-06-18;48308.58;35.46;2016-04-08;Encerrada;341;13094.92
82997-T;4987;Poupança;Ana Luiza Moura;792.814.063-22;2019-09-17;39284.74;167.59;2020-11-15;Em Atraso;644;8231.23
10981-G;8730;Corrente;Benjamim Cirino;907.148.623-04;2015-08-19;44685.18;15.09;2022-02-21;Encerrada;59;13697.14
52395-K;6665;Poupança;Giovanna Albuquerque;706.148.329-69;2017-05-03;6487.22;72.16;2019-08-30;Em Atraso;479;40876.25
31681-L;9982;Salário;Dr. Benício Pimenta;615.924.073-07;2021-03-15;21674.69;133.29;2025-01-26;Encerrada;698;5021.13
69159-V;4990;Poupança;Sr. Lorenzo Sampaio;039.274.856-83;2023-11-22;;180.34;2025-01-03;Encerrada;852;17317.12
89737-B;4299;Corrente;Luiz Miguel Costela;721.659.840-76;2023-05-15;32666.06;186.99;2023-09-23;Encerrada;662;8543.88
44522-I;2428;Poupança;Dra. Maria Isis Freitas;140.569.823-33;2020-07-31;;8.11;2023-07-30;Inativa;42;15011.95
50242-Y;4096;Salário;João Miguel Albuquerque;793.160.285-40;2016-08-18;30202.28;92.01;2024-12-03;Encerrada;467;4193.3
43876-Q;7406;Salário;Isis Dias;439.065.287-74;2016-12-11;35293.65;45.91;2023-10-02;Inativa;226;4984.32
97491-T;;Corrente;Dra. Aylla Gonçalves;425.769.081-01;2016-02-28;26526.52;246.81;2018-09-11;Inativa;939;19361.59
85682-R;1392;Salário;Apollo Brito;578.026.139-30;2024-08-26;13328.95;2347.89;2025-01-16;Encerrada;;18518.87
22521-Z;7092;Corrente;Benício da Luz;463.812.905-60;2019-04-20;35049.89;56.98;2023-09-16;Ativa;301;7672.76
81636-J;4504;Corrente;Anna Liz Teixeira;450.328.179-88;2022-12-08;7442.47;41.73;2023-07-25;Em Atraso;415;7534.6
75211-J;6872;Salário;Cauê Porto;812.547.063-80;2023-01-14;23333.28;176.04;2023-05-22;Inativa;664;3682.43
46607-E;6204;Salário;Sra. Carolina Araújo;863.159.720-12;2018-08-25;15296.39;74.85;2023-06-09;Encerrada;610;1506.74
11683-L;9223;Salário;José Pedro Castro;315.470.869-39;2017-04-20;35567.55;1194.8;;Ativa;813;11261.37
31489-T;7188;Corrente;Vicente Nascimento;735.146.098-10;2017-09-03;49516.34;108.09;2022-04-28;Ativa;500;2303.95
32063-O;3558;Poupança;Yasmin Sampaio;673.891.520-95;2024-09-29;44922.5;215.59;2024-11-19;Inativa;767;17278.83
20634-L;2576;Salário;Dra. Melissa Ramos;795.840.623-10;2022-02-23;6999.95;160.03;2024-03-11;Ativa;722;7998.61
98297-V;2767;Corrente;Melina Peixoto;369.527.814-55;2016-11-06;19333.68;48.22;2017-06-13;Encerrada;201;15953.93
52891-Z;7783;Salário;Theo Peixoto;618.432.059-98;2018-04-24;45174.53;9.76;2021-04-18;Em Atraso;74;10044.63
57664-G;3131;Poupança;Alice Machado;483.290.615-15;2021-10-02;21005.94;100.3;2022-04-27;Inativa;400;11443.36
28115-S;2150;Poupança;Renan Peixoto;647.951.238-37;2020-05-22;7919.39;109.28;2024-10-05;Em Atraso;1500;3994.13
73940-P;8141;Salário;Amanda da Mata;028.497.315-79;2019-09-15;4178.45;40.26;2023-01-16;Ativa;160;1217.21
87046-Q;7520;Poupança;Sra. Isis Moura;092.453.867-83;2019-03-11;14445.8;114.21;2020-04-02;Encerrada;486;10398.18
41460-Y;1684;Salário;Manuella Novais;260.743.915-99;2020-11-28;42384.95;106.65;2022-11-23;Em Atraso;378;14959.59
95244-D;1338;Salário;Larissa Novais;604.157.983-10;2020-11-28;42844.82;89.55;2023-12-02;Ativa;301;2136.96
57273-B;9551;Corrente;;605.849.732-92;2017-02-01;41004.53;148.74;2023-02-14;Ativa;693;9062.67
23380-X;;Salário;Ravi Porto;071.932.465-34;2016-08-02;19021.04;202.0;2019-04-16;Ativa;888;17450.18
96304-B;9764;Salário;Rafaela Rios;;2018-04-24;47762.83;249.46;2018-09-05;Ativa;971;10822.84
48540-S;3295;Salário;Evelyn Garcia;429.517.860-85;2021-04-25;31489.22;137.16;2024-10-10;Inativa;530;5892.25
86878-V;3720;Salário;Sr. Luigi Duarte;463.891.520-51;2021-09-10;22311.28;32.28;2024-06-15;Encerrada;310;19498.98
13072-B;7123;Corrente;Dom Freitas;293.086.154-15;2024-02-13;6868.07;144.53;2024-10-16;Inativa;705;15483.99
55227-X;1415;Poupança;Luísa Campos;764.358.902-00;2024-08-16;4002.79;92.39;2024-12-13;Encerrada;714;8220.44
22584-S;5717;Corrente;Guilherme Sales;149.072.635-70;2015-06-17;35248.9;35.95;2016-02-07;Em Atraso;309;7594.6
;5099;Corrente;Liz Duarte;754.218.396-64;2020-04-22;29507.43;133.39;2020-04-24;Em Atraso;454;13102.47
30974-F;3240;Salário;Gabriel Teixeira;946.082.175-85;2021-05-15;13141.46;122.18;2021-12-04;Encerrada;605;18741.22
12874-N;9900;Corrente;Dra. Allana Siqueira;976.528.031-95;2018-11-07;18944.91;255.11;2022-09-02;Inativa;964;6348.1
96286-T;2363;Salário;Gael Caldeira;251.630.987-21;2019-03-01;44918.01;141.3;2019-11-07;Em Atraso;485;16233.54
26339-D;1900;Salário;Liam Almeida;072.149.568-02;2024-08-17;30896.43;147.06;2024-08-19;Inativa;584;8636.82
57886-K;3981;Corrente;Mirella Santos;905.728.146-58;2024-11-07;21261.43;15.19;2024-11-27;Inativa;53;10311.5
21906-E;6523;Salário;Valentina Cavalcante;576.894.031-66;2019-06-24;35201.81;79.19;2024-01-12;Ativa;517;7638.47
86479-G;2916;Poupança;Emanuella Moraes;327.590.481-79;2024-06-20;9445.5;158.8;2024-12-12;Encerrada;701;8842.36
54538-M;;Salário;;176.458.023-08;2023-10-07;15252.14;0.33;2023-11-30;Em Atraso;2;19097.05
92409-W;7494;Poupança;Heloisa Dias;140.763.958-75;2024-07-10;14836.66;2.88;2024-12-01;Encerrada;10;8290.13
37764-V;9716;Salário;Rodrigo Pacheco;635.018.927-21;2021-05-03;18101.03;808.46;2021-09-16;Inativa;473;12947.67
74513-T;3499;Corrente;Luiz Henrique Vargas;385.964.721-00;2017-11-29;25560.24;216.86;2022-05-28;Encerrada;870;16553.48
75472-Q;9174;Corrente;Bella Freitas;098.743.265-65;2022-03-02;42847.58;81.89;2023-10-09;Encerrada;477;19352.18
69293-T;9578;Corrente;Gabriela Araújo;698.721.054-30;2016-06-24;5755.46;69.93;2017-06-26;Em Atraso;263;6807.92
67187-X;9553;Poupança;Matteo Sá;971.035.824-32;2021-03-08;12436.24;46.81;2021-06-30;Ativa;209;11674.22
91287-J;5621;Poupança;Yago Ramos;624.519.803-89;2018-06-30;30972.72;117.89;2021-01-11;Inativa;661;18337.52
19612-N;4823;Corrente;Caroline Peixoto;691.475.230-34;2023-05-19;39647.4;27.31;2023-11-01;Em Atraso;106;14330.45
38897-W;6224;Salário;Kaique Novais;731.894.062-78;2018-06-01;43074.27;29.15;2024-10-13;Inativa;126;18175.54
10914-Y;7369;Poupança;Valentina Pimenta;430.695.781-01;2018-06-20;43474.89;138.98;2020-09-19;Inativa;883;5826.87
76165-L;3136;Corrente;;965.301.248-70;2017-08-10;28029.63;18.99;2020-08-23;Em Atraso;150;9546.38
37016-V;5245;Corrente;Ester Moura;602.918.357-59;2022-01-27;6326.34;54.73;2023-10-27;Inativa;283;9722.86
81780-V;4917;Corrente;;513.086.794-75;;47375.75;109.26;2021-03-11;Em Atraso;673;6862.77
67705-G;3039;Corrente;Paulo Alves;196.508.437-01;2019-05-15;46647.54;178.17;2024-10-13;Inativa;838;14973.5
39613-F;7054;Salário;Isadora Fogaça;609.432.185-51;2015-12-25;29181.22;79.73;2020-11-17;Inativa;479;6937.41
84712-E;2539;Poupança;;879.146.325-46;2015-02-07;34745.02;226.5;2023-02-20;Encerrada;882;12379.37
46720-P;6432;Salário;Milena Martins;325.964.170-06;2016-03-15;40502.49;49.93;;Encerrada;328;9082.13
97470-B;8831;Poupança;Aurora Sá;507.342.689-47;2024-07-18;37077.72;52.47;2024-12-29;Em Atraso;317;11173.68
