PacienteID;Nome;CPF;Data_Nascimento;Genero;Data_Admissao;Data_Alta;Diagnostico;Procedimento;Quantidade_Exames;Custo_Total;Medico_Responsavel;Dias_Internacao
HOSP-00062;Maria Liz da Conceição;768.201.945-01;2001-10-31;Feminino;2024-10-04;2024-10-19;Diabetes Descompensada;Antibióticos;7;4912.17;Dr(a). Silveira;15
HOSP-00063;Ana Vitória da Cunha;812.345.097-41;1995-10-02;Masculino;2024-05-28;2024-06-07;Covid-19;Cirurgia Cardíaca;2;2681.68;Dr(a). Costa;10
HOSP-00064;Vicente Gomes;821.604.753-35;1935-10-20;Masculino;2024-12-27;2025-01-19;Pneumonia;Cirurgia Cardíaca;3;4133.62;Dr(a). Sá;23
HOSP-00065;Sra. Ana Novaes;748.052.196-02;2019-03-09;Masculino;2024-02-10;2024-02-19;Fratura;Tratamento Clínico;4;3678.12;Dr(a). Mendonça;9
HOSP-00066;Bruna da Conceição;957.423.608-00;2003-10-09;Masculino;2024-07-25;2024-08-24;Covid-19;Cirurgia Cardíaca;10;6822.96;Dr(a). Silveira;30
HOSP-00067;Josué Silveira;867.190.523-30;2022-10-27;Feminino;2024-05-18;2024-05-27;Diabetes Descompensada;Tratamento Clínico;6;6291.66;Dr(a). Costa;9
HOSP-00068;José Pedro Rios;164.759.802-85;1965-08-07;Masculino;2025-01-20;2025-02-18;Apendicite;Tratamento Clínico;3;4015.32;Dr(a). Pires;29
HOSP-00069;Ana Barros;734.951.260-07;1985-06-26;Feminino;2024-05-01;2024-05-03;Trauma Crânio-Encefálico;Observação;3;3988.11;Dr(a). Alves;2
HOSP-00070;Melina Brito;294.650.183-33;2009-09-25;Feminino;2024-11-04;2024-11-06;Infarto;Cirurgia Cardíaca;4;5146.31;Dr(a). Souza;2
HOSP-00071;Luiz Gustavo Rios;930.546.187-57;2008-01-25;Masculino;2024-05-07;2024-05-08;Apendicite;Antibióticos;4;4531.29;Dr(a). Moraes;1
HOSP-00072;Ana Julia Borges;794.683.521-37;1981-12-29;Feminino;2024-02-21;2024-02-26;Hipertensão;Cirurgia;1;2753.77;Dr(a). Fonseca;5
HOSP-00073;Sr. Marcos Vinicius Melo;529.384.710-41;1966-02-18;Feminino;2024-08-05;2024-09-04;Trauma Crânio-Encefálico;Antibióticos;10;6740.76;Dr(a). Cavalcante;30
HOSP-00074;Larissa Rios;628.017.534-08;1941-11-17;Feminino;2024-06-04;2024-06-06;Covid-19;Cirurgia;7;5829.88;Dr(a). Fernandes;2
HOSP-00075;Ana Vitória Castro;634.587.910-00;1957-11-25;Masculino;2024-08-15;2024-08-25;Covid-19;Antibióticos;7;5263.2;Dr(a). da Rosa;150
HOSP-00076;Murilo Ribeiro;402.857.196-02;1952-02-17;Masculino;;2024-09-07;Hipertensão;Observação;9;5906.78;Dr(a). Cavalcanti;6
HOSP-00077;Mirella Montenegro;546.792.803-10;2006-07-31;Feminino;2024-08-13;2024-08-28;Covid-19;Tratamento Clínico;9;7390.76;Dr(a). Pereira;15
HOSP-00078;;697.548.230-65;1960-03-17;Feminino;2024-05-24;2024-05-30;Fratura;Observação;4;4564.43;Dr(a). Barbosa;6
HOSP-00079;Luiz Henrique Porto;642.810.573-07;2012-02-20;Masculino;2024-02-03;2024-02-25;Apendicite;Cirurgia Cardíaca;198;5044.91;Dr(a). Aparecida;22
HOSP-00080;Ana Sophia Barros;013.547.269-52;1953-12-05;Feminino;2024-11-30;2024-12-28;Infarto;Cirurgia;7;6278.29;Dr(a). Garcia;28
HOSP-00081;Benício Teixeira;619.725.438-73;1994-09-29;Feminino;2024-11-21;2024-12-03;Covid-19;Tratamento Clínico;6;5496.42;Dr(a). Costa;12
HOSP-00082;Dr. Pedro Castro;940.537.168-10;1971-04-03;;2024-12-31;2025-01-10;Hipertensão;Tratamento Clínico;2;3011.44;Dr(a). Novais;10
HOSP-00083;Diego Jesus;608.152.473-62;1947-12-18;Feminino;2024-05-20;2024-05-26;Infarto;Tratamento Clínico;4;5394.62;Dr(a). Dias;6
HOSP-00084;Sra. Ana Carolina Pimenta;472.836.190-03;2015-01-11;Masculino;2024-03-22;2024-03-31;Infarto;Cirurgia;6;5404.12;Dr(a). Casa Grande;9
HOSP-00085;Laís Azevedo;095.146.372-16;1949-08-11;Masculino;2024-06-03;2024-06-06;Diabetes Descompensada;Tratamento Clínico;5;4668.36;Dr(a). Borges;3
HOSP-00086;Emanuella Santos;702.485.169-49;1950-02-12;Feminino;2025-01-12;2025-01-29;Trauma Crânio-Encefálico;Fisioterapia;1;2458.73;Dr(a). Nogueira;17
HOSP-00087;Cecília Castro;945.276.803-74;1986-06-27;Masculino;2024-04-12;2024-05-06;Trauma Crânio-Encefálico;Observação;2;;Dr(a). da Paz;24
HOSP-00088;Gustavo Henrique Caldeira;204.571.693-70;1943-05-07;Masculino;2025-01-11;2025-01-15;Diabetes Descompensada;Observação;10;6373.93;Dr(a). Rocha;4
HOSP-00089;Sabrina Porto;230.819.645-98;2013-05-07;Feminino;2024-10-09;2024-10-21;Apendicite;Tratamento Clínico;6;5584.4;Dr(a). da Mata;12
HOSP-00090;Maria Helena Rezende;084.752.391-88;1979-12-31;Masculino;2024-07-27;2024-08-01;Diabetes Descompensada;Antibióticos;8;5764.48;Dr(a). Novais;5
HOSP-00091;Sophie Souza;125.876.390-77;2021-07-03;Masculino;2024-08-05;2024-08-24;Infarto;Antibióticos;4;43296.96;Dr(a). Santos;19
HOSP-00092;Srta. Luísa Nascimento;035.714.286-17;1932-02-16;Masculino;2025-01-30;2025-02-15;Pneumonia;Tratamento Clínico;5;5666.65;Dr(a). Lopes;16
HOSP-00093;Maria Alice Fonseca;619.704.358-01;1978-11-24;Masculino;2024-06-10;2024-07-09;Diabetes Descompensada;Tratamento Clínico;7;5683.81;Dr(a). Sales;29
HOSP-00094;Henry da Rocha;273.016.948-22;;Masculino;2024-03-31;2024-04-27;Pneumonia;Fisioterapia;9;7681.06;Dr(a). Macedo;27
HOSP-00095;Caio Mendes;972.168.543-73;1942-01-05;Masculino;2024-03-07;2024-04-02;Infarto;Fisioterapia;1;2866.77;Dr(a). Gonçalves;26
HOSP-00096;;973.245.681-73;1995-04-22;Feminino;2024-12-02;2024-12-25;Pneumonia;Cirurgia Cardíaca;2;3953.48;Dr(a). Vasconcelos;23
HOSP-00097;Dom Nogueira;478.609.123-50;1967-07-13;Masculino;2024-10-28;2024-11-25;Trauma Crânio-Encefálico;Cirurgia;4;4452.66;Dr(a). Ribeiro;28
HOSP-00098;Matteo Nunes;351.879.640-20;1952-08-28;Feminino;2024-04-02;2024-04-10;Diabetes Descompensada;Tratamento Clínico;2;3832.5;Dr(a). Cirino;8
HOSP-00099;Isabela Novaes;173.642.580-35;1950-06-15;Masculino;2025-01-24;2025-01-25;Trauma Crânio-Encefálico;Observação;6;5997.86;Dr(a). Macedo;1
HOSP-00100;Isis Andrade;837.029.615-77;1986-12-12;Feminino;2024-05-15;2024-05-27;Fratura;Cirurgia;10;6378.13;Dr(a). da Costa;12
HOSP-00101;Anthony Gabriel Rocha;614.509.728-02;1997-06-16;Feminino;2024-06-18;2024-07-14;Fratura;Cirurgia Cardíaca;1;2449.68;Dr(a). Gomes;26
;Luiz Felipe Lima;621.945.370-07;2020-07-02;Masculino;2025-01-27;2025-02-10;Covid-19;Tratamento Clínico;10;7451.23;Dr(a). Moura;14
HOSP-00103;Manuela Borges;915.436.082-05;1993-11-05;Feminino;2024-10-09;2024-11-06;Trauma Crânio-Encefálico;Antibióticos;3;4341.05;Dr(a). Brito;
HOSP-00104;Yago da Costa;127.643.589-46;1930-11-29;Masculino;2024-12-16;2024-12-29;Covid-19;Fisioterapia;3;3799.94;Dr(a). Pinto;13
HOSP-00105;Luiz Miguel Almeida;208.769.315-30;1959-09-22;Feminino;2024-10-20;2024-10-23;Infarto;Tratamento Clínico;2;2857.01;Dr(a). Garcia;3
HOSP-00106;Caleb Rezende;321.908.654-33;1950-08-06;Feminino;2024-10-07;2024-10-19;Fratura;Tratamento Clínico;7;5277.3;Dr(a). Montenegro;12
HOSP-00107;Bento Teixeira;682.170.354-07;1941-10-08;Feminino;2024-08-31;2024-09-06;Diabetes Descompensada;Observação;4;;Dr(a). Pereira;6
HOSP-00108;Théo Cavalcante;852.736.401-80;;Feminino;2024-12-22;2025-01-09;Pneumonia;Cirurgia;3;4486.4;Dr(a). Costa;18
HOSP-00109;Arthur Miguel Marques;438.510.267-80;1973-06-30;Masculino;2025-01-11;2025-02-01;Hipertensão;Observação;4;5316.67;Dr(a). Costela;21
HOSP-00110;Vitor Nascimento;851.362.794-19;1991-09-29;Masculino;2024-07-13;2024-08-11;Pneumonia;Observação;9;7484.85;Dr(a). Andrade;29
HOSP-00111;João Guilherme Vasconcelos;960.785.132-30;1951-01-10;Masculino;2025-01-27;2025-02-16;Fratura;Cirurgia Cardíaca;1;2774.87;Dr(a). Vasconcelos;20
HOSP-00112;Ryan Rios;519.032.847-32;1926-10-23;Masculino;2024-03-10;2024-04-01;Infarto;Tratamento Clínico;153;6963.85;Dr(a). Ferreira;22
HOSP-00113;Gabrielly da Rosa;096.478.235-92;1982-10-26;Masculino;;2024-08-07;Infarto;Observação;7;6940.9;Dr(a). Andrade;28
HOSP-00114;Nina Sampaio;239.704.168-50;1975-05-13;Feminino;2025-01-22;2025-02-18;;Tratamento Clínico;6;;Dr(a). Costela;27
HOSP-00115;Maria Vitória Casa Grande;;2012-10-25;Feminino;2024-06-14;2024-06-16;Trauma Crânio-Encefálico;Cirurgia;4;4940.4;Dr(a). Peixoto;2
HOSP-00116;Luana Moraes;539.827.460-00;1956-07-27;Feminino;2024-12-14;2024-12-15;Infarto;Cirurgia Cardíaca;3;4233.83;Dr(a). Cirino;1
HOSP-00117;Dr. Davi Nascimento;654.081.293-06;1992-03-23;Masculino;2024-04-19;2024-05-05;Diabetes Descompensada;Cirurgia Cardíaca;10;5753.83;Dr(a). Câmara;16
HOSP-00118;Heitor Carvalho;280.435.916-60;;Masculino;2024-04-03;2024-04-15;Trauma Crânio-Encefálico;Observação;3;3628.35;Dr(a). Pinto;12
HOSP-00119;Breno Nogueira;879.341.526-55;1950-04-29;Feminino;2024-11-26;2024-12-10;Covid-19;Antibióticos;9;5203.02;Dr(a). Camargo;14
HOSP-00120;Maysa Azevedo;389.762.041-31;1970-04-13;Masculino;2024-09-19;2024-10-01;Covid-19;Fisioterapia;3;3464.65;Dr(a). Peixoto;12
HOSP-00121;João Miguel Siqueira;710.925.648-02;2005-10-21;Masculino;2024-03-07;2024-04-05;Trauma Crânio-Encefálico;Cirurgia;10;7580.35;Dr(a). Silva;29
HOSP-00122;Ryan Rocha;245.619.780-11;1992-12-23;Feminino;2024-10-01;2024-10-08;Trauma Crânio-Encefálico;Fisioterapia;3;4678.15;Dr(a). Araújo;7
HOSP-00123;Bárbara Câmara;196.283.540-51;1942-02-07;Masculino;2024-12-05;2024-12-10;Diabetes Descompensada;Antibióticos;2;2820.2;Dr(a). Camargo;5
HOSP-00124;;873.250.941-32;1940-11-03;Feminino;2024-05-19;;Covid-19;Observação;8;5405.33;Dr(a). da Luz;10
HOSP-00125;Luara Novaes;964.012.783-31;1980-02-28;Feminino;2024-08-04;2024-08-27;Trauma Crânio-Encefálico;Cirurgia Cardíaca;1;2505.9;Dr(a). Cassiano;23
HOSP-00126;Yasmin da Luz;673.042.598-92;1997-03-12;Feminino;2024-12-15;2024-12-23;Covid-19;Antibióticos;7;5991.03;Dr(a). Azevedo;8
;Isadora Nunes;498.270.516-01;1937-07-21;;2024-07-26;2024-07-28;Hipertensão;Tratamento Clínico;9;6434.68;Dr(a). Casa Grande;2
HOSP-00128;Olívia Albuquerque;234.816.095-15;1967-05-14;Feminino;2024-02-25;2024-03-18;Covid-19;Antibióticos;;;Dr(a). Moura;22
HOSP-00129;Sara Nogueira;975.623.018-59;2020-06-20;Masculino;2024-06-15;2024-07-05;Fratura;Fisioterapia;1;2570.58;Dr(a). Fernandes;20
HOSP-00130;Luiz Felipe Silva;384.962.015-89;1980-11-01;Masculino;2024-06-27;2024-07-01;Diabetes Descompensada;Cirurgia;6;6339.61;Dr(a). Novais;4
HOSP-00131;Erick Pastor;864.972.031-50;1934-09-30;Masculino;2024-02-03;2024-02-09;Trauma Crânio-Encefálico;Observação;9;;Dr(a). Vargas;6
;Luigi Fonseca;207.594.613-25;2003-01-09;Masculino;2024-11-18;2024-12-04;Trauma Crânio-Encefálico;Cirurgia;8;6428.65;Dr(a). das Neves;16
HOSP-00133;Aylla Moura;964.720.135-43;1940-07-04;Feminino;2024-09-06;2024-09-13;Covid-19;Fisioterapia;8;6272.14;Dr(a). Ramos;7
HOSP-00134;Bruna Oliveira;761.089.423-04;2002-09-13;Feminino;2024-09-05;2024-09-29;Trauma Crânio-Encefálico;Observação;10;6998.06;Dr(a). Camargo;24
;Maria Fernanda Carvalho;682.095.314-33;1933-03-01;Feminino;2024-03-22;2024-04-08;Trauma Crânio-Encefálico;Fisioterapia;2;2721.12;Dr(a). Borges;17
HOSP-00136;Srta. Maria Julia Rodrigues;795.230.648-00;1998-11-26;Feminino;2024-10-01;2024-10-24;Trauma Crânio-Encefálico;Cirurgia Cardíaca;2;3399.49;Dr(a). Caldeira;23
HOSP-00137;Ísis Araújo;825.106.739-12;2021-05-17;Feminino;2024-02-05;2024-02-23;Hipertensão;Cirurgia;8;5361.92;Dr(a). Castro;18
HOSP-00138;Srta. Lívia Leão;470.193.625-16;1956-04-29;Masculino;2024-10-13;2024-11-12;Apendicite;Cirurgia Cardíaca;8;93570.44;Dr(a). Duarte;30
HOSP-00139;Sr. Henry Gabriel Santos;074.128.539-88;1953-05-01;Feminino;2024-12-23;2024-12-26;Pneumonia;Fisioterapia;7;5809.51;Dr(a). Alves;3
HOSP-00140;Valentina Campos;093.746.128-87;2004-09-01;Masculino;2024-08-25;2024-08-31;Pneumonia;Antibióticos;5;4104.78;Dr(a). Cassiano;66
HOSP-00141;André Camargo;860.732.915-40;2003-05-27;Feminino;2024-04-12;2024-05-11;Apendicite;Observação;2;2745.78;Dr(a). Vasconcelos;29
HOSP-00142;Eloah das Neves;478.239.510-88;1935-08-28;Masculino;2024-06-22;2024-06-28;Hipertensão;Cirurgia;2;3681.5;Dr(a). Aragão;6
HOSP-00143;Rafael Câmara;537.408.129-23;2018-04-19;Masculino;2024-07-30;2024-08-14;Infarto;Cirurgia Cardíaca;6;5636.65;Dr(a). Aparecida;15
HOSP-00144;Dra. Hadassa Aparecida;203.648.715-71;2024-01-26;Masculino;2024-10-13;2024-10-20;Diabetes Descompensada;Fisioterapia;1;2108.63;Dr(a). Correia;7
;Ayla Teixeira;463.105.892-70;1997-08-15;Feminino;2024-11-06;2024-11-29;Covid-19;Tratamento Clínico;4;3864.61;Dr(a). Costa;23
HOSP-00146;Brenda Moraes;278.031.596-21;1993-03-28;Feminino;2024-04-07;2024-04-25;;Observação;4;3785.56;Dr(a). Gonçalves;18
HOSP-00147;Luiza Castro;906.234.815-70;2005-07-24;Feminino;2024-12-15;2025-01-02;Trauma Crânio-Encefálico;Cirurgia Cardíaca;9;6090.04;Dr(a). Leão;18
HOSP-00148;Maria Júlia Novais;315.962.087-59;1935-09-02;Feminino;2024-04-03;2024-04-08;Apendicite;Observação;2;3922.33;Dr(a). Correia;5
HOSP-00149;Aurora Melo;176.392.084-40;2017-02-04;Feminino;2024-06-12;2024-06-23;Infarto;Tratamento Clínico;;2769.09;Dr(a). Vieira;11
HOSP-00150;Augusto Fogaça;407.361.285-90;2019-11-02;Masculino;2024-06-13;2024-07-12;Pneumonia;Observação;2;2663.72;Dr(a). Souza;29
HOSP-00151;Laís Mendes;872.963.054-10;1941-08-07;Masculino;;2025-01-24;Pneumonia;Observação;9;7156.26;Dr(a). Nogueira;27
HOSP-00152;Olivia Mendonça;129.653.048-51;1994-07-31;Feminino;2024-04-18;2024-04-22;Infarto;Tratamento Clínico;;6645.53;Dr(a). Santos;4
HOSP-00153;Ravi Lucca das Neves;293.816.547-19;2003-12-01;Masculino;2024-10-30;2024-11-22;Diabetes Descompensada;Tratamento Clínico;7;6759.57;Dr(a). da Rosa;23
HOSP-00154;Eloah da Costa;095.216.378-03;1978-08-06;Masculino;2024-07-04;2024-07-11;Covid-19;Antibióticos;;3377.41;Dr(a). Vargas;7
HOSP-00155;Ana Cecília Oliveira;523.984.701-05;1948-12-04;Feminino;2024-07-22;2024-08-14;Infarto;Observação;6;;Dr(a). Novaes;23
HOSP-00156;Sr. Asafe Porto;738.159.204-50;1984-09-17;Masculino;2024-08-18;2024-09-01;Covid-19;Cirurgia;7;6248.18;Dr(a). Camargo;14
HOSP-00157;Danilo Carvalho;302.946.715-52;2016-08-16;Feminino;2024-07-03;2024-07-31;Infarto;Antibióticos;7;5240.46;Dr(a). Marques;28
